word;log(rank);log(freq)
to;0.0;3.7238659644435037
the;0.3010299956639812;3.721398375521505
and;0.47712125471966244;3.692935002531138
of;0.6020599913279624;3.637189422148762
i;0.6989700043360189;3.5039268041935103
a;0.7781512503836436;3.498999363580153
it;0.8450980400142568;3.4058583993176366
her;0.9030899869919435;3.394976719554564
was;0.9542425094393249;3.380211241711606
she;1.0;3.3736474722092176
in;1.0413926851582251;3.3422252293607904
not;1.0791812460476249;3.3346547668832414
you;1.1139433523068367;3.312388949370592
be;1.146128035678238;3.298197867109815
he;1.1760912590556813;3.2579184503140586
that;1.2041199826559248;3.257438566859814
had;1.2304489213782739;3.2111205412580492
but;1.255272505103306;3.160168292958512
as;1.2787536009528289;3.159266331093494
for;1.3010299956639813;3.1370374547895126
have;1.3222192947339193;3.1231980750319988
is;1.3424226808222062;3.1007150865730817
with;1.3617278360175928;3.0870712059065353
very;1.380211241711606;3.0835026198302673
mr;1.3979400086720377;3.0622058088197126
his;1.414973347970818;3.060697840353612
at;1.4313637641589874;3.017450729510536
so;1.4471580313422192;2.9907826918031377
all;1.462397997898956;2.931966114728173
could;1.4771212547196624;2.92272545799326
would;1.4913616938342726;2.9148718175400505
emma;1.505149978319906;2.8965262174895554
him;1.5185139398778875;2.8870543780509568
been;1.5314789170422551;2.8808135922807914
no;1.5440680443502757;2.8739015978644615
my;1.5563025007672873;2.864511081058392
on;1.568201724066995;2.8457180179666586
mrs;1.5797835966168101;2.8457180179666586
any;1.591064607026499;2.824125833916549
do;1.6020599913279623;2.8115750058705933
were;1.6127838567197355;2.7795964912578244
miss;1.6232492903979006;2.7795964912578244
by;1.6334684555795864;2.7737864449811935
me;1.6434526764861874;2.765668554759014
will;1.6532125137753437;2.7611758131557314
must;1.662757831681574;2.75815462196739
this;1.6720978579357175;2.7466341989375787
which;1.6812412373755872;2.745855195173729
from;1.6901960800285136;2.74350976472843
there;1.6989700043360187;2.741939077729199
they;1.7075701760979363;2.734799829588847
or;1.7160033436347992;2.7331972651065692
what;1.724275869600789;2.7307822756663893
if;1.7323937598229686;2.7032913781186614
such;1.7403626894942439;2.69284691927723
much;1.7481880270062005;2.6866362692622934
said;1.7558748556724915;2.6848453616444123
more;1.7634279935629373;2.673941998634088
an;1.7708520116421442;2.6693168805661123
are;1.7781512503836436;2.661812685537261
