location,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Mean Sea Level Pressure
unit,°C,%,km/h,°,km/h,°,hPa
level,2 m elevation corrected,2 m,10 m,10 m,500 mb,500 mb,MSL
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Wind Speed [500 mb],Basel Wind Direction [500 mb],Basel Mean Sea Level Pressure [MSL]
20150201T0000,0.67052865,78.0,16.299694,226.78992,53.630333,276.55255,986.7
20150201T0100,2.1205285,72.0,17.610588,229.14462,53.050858,262.19983,986.3
20150201T0200,1.0905286,91.0,30.070238,238.21275,50.81486,277.32642,986.4
20150201T0300,1.0205287,89.0,31.667723,261.50146,60.05529,295.95065,986.1
20150201T0400,0.43052867,90.0,31.394394,266.0548,70.2987,302.87628,986.7
20150201T0500,0.43052867,91.0,31.810638,264.80557,72.577286,306.52887,986.8
20150201T0600,0.90052867,86.0,28.174456,259.69516,72.87399,309.58813,986.5
20150201T0700,0.61052865,90.0,34.862427,253.81079,64.407814,315.67938,986.9
20150201T0800,1.1305287,87.0,46.608532,265.1261,58.03932,315.0,986.9
20150201T0900,1.6905286,86.0,43.29589,273.8141,56.00517,314.47916,988.0
20150201T1000,2.1005285,83.0,44.25072,277.0094,52.019688,318.36646,988.8
20150201T1100,1.5605286,85.0,42.626186,285.67953,54.534946,317.6754,989.3
20150201T1200,1.5705286,86.0,40.998924,286.8438,47.798725,320.19443,989.8
20150201T1300,2.7805285,77.0,25.140787,299.1343,51.575573,330.7512,993.4
20150201T1400,2.8505285,71.0,35.008957,300.25644,49.341015,327.81738,994.2
20150201T1500,3.6205285,69.0,35.90808,295.53745,45.332848,325.67896,994.6
20150201T1600,3.5605285,65.0,36.55906,295.051,43.416954,322.75006,995.0
20150201T1700,2.8005285,73.0,30.0767,281.04095,40.808823,318.57635,995.5
20150201T1800,1.2805287,84.0,22.751316,265.46222,42.626186,307.4506,996.0
20150201T1900,0.45052865,85.0,23.933907,248.83875,46.216206,295.3674,996.5
20150201T2000,0.46052867,82.0,25.284714,241.9755,46.867798,294.9903,996.5
20150201T2100,1.2805287,78.0,26.867676,234.8193,50.425705,316.73572,996.6
20150201T2200,1.9505286,75.0,35.572662,234.05789,46.907875,311.88916,995.7
20150201T2300,1.4105287,89.0,37.163788,231.68692,45.034546,302.92786,995.4
20150202T0000,1.5205287,87.0,45.10212,253.30075,45.64056,302.43652,995.1
20150202T0100,0.53052866,90.0,41.741375,284.9951,47.6208,308.86273,996.3
20150202T0200,0.14052865,86.0,38.706276,288.43497,47.176483,318.40277,998.7
20150202T0300,-0.12947133,86.0,31.534437,288.64178,48.30578,320.13977,999.7
20150202T0400,0.17052865,85.0,30.574575,282.2361,49.608208,322.9638,999.8
20150202T0500,0.24052864,95.0,31.550869,286.574,50.659046,320.76788,1000.7
20150202T0600,0.23052865,93.0,23.4,292.61987,42.504395,321.18863,1001.7
20150202T0700,0.31052867,90.0,23.441502,280.61966,41.079456,311.09146,1002.4
20150202T0800,-0.26947135,91.0,23.759998,270.0,39.09606,306.76437,1002.1
20150202T0900,0.9505287,88.0,26.642431,270.77423,45.070503,301.2777,1002.6
20150202T1000,2.4305286,78.0,27.952787,277.3996,48.33796,304.99203,1003.5
20150202T1100,2.8105285,75.0,32.078403,279.0395,53.46697,316.09125,1003.2
20150202T1200,3.0505285,73.0,34.428497,276.60486,58.53848,320.23956,1002.7
20150202T1300,2.7005286,76.0,26.28,270.0,67.088585,318.6984,1004.3
20150202T1400,2.4405286,83.0,25.922499,269.20428,68.541954,320.5412,1004.5
20150202T1500,2.7905285,78.0,26.302181,272.3533,69.32687,320.68967,1004.0
20150202T1600,2.8905284,71.0,25.364037,276.5198,68.82029,320.7317,1003.6
20150202T1700,2.5905285,72.0,24.031178,278.61566,67.395996,319.3323,1004.0
20150202T1800,1.3105286,92.0,16.946787,282.26477,65.024605,318.36646,1004.4
20150202T1900,0.8205287,95.0,12.758432,286.38956,64.19922,317.27246,1004.3
20150202T2000,0.74052864,95.0,10.308831,282.09476,63.906845,316.1412,1004.5
20150202T2100,1.2205287,87.0,13.679999,270.0,63.641647,314.54163,1004.9
20150202T2200,0.62052864,88.0,10.105681,265.91437,62.28104,310.7809,1004.7
20150202T2300,0.28052866,87.0,8.209263,232.12502,59.261288,306.10416,1004.1
20150203T0000,0.040528655,92.0,7.628263,199.29004,54.59314,297.9169,1003.7
20150203T0100,0.20052865,89.0,7.42159,165.96376,50.322796,289.21268,1003.5
20150203T0200,0.20052865,86.0,9.339208,117.55281,50.688457,286.50436,1003.7
20150203T0300,-0.18947133,90.0,12.9249525,102.87499,50.200314,280.74585,1002.9
20150203T0400,-0.22947133,93.0,13.979871,101.88866,50.55533,278.1878,1001.4
20150203T0500,-0.17947134,93.0,16.62249,107.650116,50.365273,279.46234,1001.2
20150203T0600,-0.059471346,89.0,19.93048,106.79836,49.297657,276.70984,1001.7
20150203T0700,0.010528658,89.0,19.721298,111.412964,47.271168,273.93018,1001.0
20150203T0800,-0.039471343,84.0,17.727943,113.96249,46.50832,273.10602,1000.6
20150203T0900,0.49052867,77.0,18.204042,114.53772,46.092655,268.65738,1001.5
20150203T1000,1.1905286,78.0,17.76081,107.700424,45.242702,264.0626,1001.1
20150203T1100,1.9405286,77.0,13.138765,99.46232,46.046238,260.09583,1000.7
20150203T1200,3.1105285,67.0,5.904439,37.568573,51.16561,256.1593,1000.4
20150203T1300,3.1805286,70.0,7.2805495,8.530762,37.683247,288.95422,1002.1
20150203T1400,3.7705286,68.0,8.557102,22.249008,32.048088,271.28732,1002.2
20150203T1500,4.2605286,64.0,8.942214,49.89908,33.11413,258.07925,1002.4
20150203T1600,4.4205284,58.0,11.620809,73.8108,34.726475,250.62587,1002.2
20150203T1700,3.7505286,60.0,13.708391,76.32868,31.205997,253.23746,1001.6
20150203T1800,2.1305285,67.0,14.408997,77.00538,24.627787,254.74487,1002.4
20150203T1900,0.65052867,73.0,11.966953,83.08877,24.312662,242.67612,1003.3
20150203T2000,-0.039471343,72.0,9.746631,85.7636,23.557316,231.20346,1003.6
20150203T2100,-0.44947132,74.0,7.172949,72.47443,20.898613,222.2073,1004.0
20150203T2200,-0.83947134,76.0,4.6102495,51.34018,21.758419,218.9559,1004.6
20150203T2300,-1.3594713,80.0,2.9024127,29.744873,21.479664,219.55966,1004.5
20150204T0000,-1.5894713,81.0,3.219938,26.565033,21.028437,231.95296,1004.3
20150204T0100,-1.6594714,82.0,3.4152596,18.434952,22.238562,240.9454,1005.3
