Membership No  Date Joined  Active  
    77658      2017-6-10    no    
    99560      2020-2-9     no    
    62416      2015-3-21    no    
    90645      2018-3-23    no    
    58850      2017-12-20   no    
    82702      2020-2-8     no    
    88542      2017-5-20    no    
    64700      2016-4-22    no    
    60020      2016-11-9    no    
    54368      2016-4-5     no    
    15014      2017-11-18   no    
    64574      2015-2-20    no    
    83795      2017-12-10   no    
    99752      2020-2-13    no    
    86602      2015-8-20    no    
    44153      2016-11-9    no    
    75289      2017-12-6    no    
    69795      2020-4-2     no    
    41668      2015-9-13    no    
