Membership No  Date Joined  Active  
    47365      2020-9-24    yes   
    45581      2017-5-9     yes   
    56290      2018-2-2     yes   
    60136      2015-2-23    yes   
    46903      2019-8-14    yes   
    41020      2015-12-22   yes   
    80937      2018-4-24    yes   
    46211      2020-10-3    yes   
    81935      2019-8-12    yes   
    84350      2019-8-3     yes   
    88830      2017-6-25    yes   
    16266      2018-1-10    yes   
    53086      2015-2-6     yes   
    68914      2020-9-13    yes   
    79814      2016-2-7     yes   
